,labels,sentences
441693,0,@Georgieboo I think Richard has run for the hills on the back of a very small donkey as he seems to have disappeared 
1476969,1,1
997607,1,1
1231871,1,1
1335901,1,1
368944,0,"@ohcarlos Her, or every single person in their late 20s early 30s in Brooklyn.  I really wanted to do the photobooth idea, too "
1046870,1,1
943474,1,1
1532197,1,1
931406,1,1
469699,0,@inertia_games we have failed to play any games in our spare time  #dare09
206470,0,"@SLM5 too bad you can't cuddle  just think of how long I have to go without my man and feel better, lol."
481239,0,Moooonday 
351766,0,@alenacarran omg makes me think of dave and chomp 
776502,0,I crashed my itouch airplane 
373176,0,"As soon as she wins ..there's a blackout ..WTF!! ..sorry but i can't calm down ..waiting on her, her promo crew (me) LOL &amp; their feedback "
1115991,1,1
966149,1,1
1307339,1,1
564624,0,@IsraSeyd nothing de nothing. 
1252785,1,1
1138439,1,1
1034536,1,1
426000,0,StackOverflow is down  How am I meant to amuse myself on a sunday morning now?
392194,0,AND ALSO.  SEED OF CHUCKY IS FULLY RANDY. i was watching that also. love late night movies. that sounds so XXX. soz 
190614,0,did i mention i always dreamed to play violin? i gratuated musical hool but play piano and &quot;bayan&quot; rather than violin 
1019519,1,1
56344,0,"@AussieKatieKat Awww, poor Katie  I see if I can hook you up next time I give some away! #pawpawty"
1511460,1,1
1054371,1,1
390647,0,No umbrellas  allowed! :o  I really hope that's still there when I get out! At least we got here early enough to get wristbands for th ...
1494456,1,1
1349256,1,1
1409415,1,1
1229932,1,1
187137,0,I am getting ready for bed!  I have to work in the morning! 
1145806,1,1
153363,0,"Dammit, I forgot I have to wake up early tomorrow (today) "
91701,0,"I hear ya, love. Except I've had week-drop + crazy subdrop... rt @nayali: is experiencing 'weekend drop.' "
83939,0,chem chem revisionnnn 
1113945,1,1
290867,0,@ddlovato you are at the beach? I still at work and later I have classes 
1593090,1,1
654084,0,@megadactyl: ha. noo you guys should still go. ya gotta eat. adam should be able to go..just not me 
734829,0,I didnt win 
76851,0,Oh my computer got sick 
628057,0,it's 2am n i'm still wide awake!! y can't i ever sleep?? 
1250533,1,1
728339,0,back in freswack..... 
1547557,1,1
280864,0,@imothi abis pulsaa 
725830,0, now what colie?
1158608,1,1
526727,0,Good new: its not gonna rain tmrw. Bad news: its not going to be warm enough for the beach 
502122,0,love oprah! wrote a new song about having to leave my friends at the end of this year 
690555,0,First time flying alone at lax  
952426,1,1
548462,0,@R33S aww poor A.D.D. guy  can't investigate fraud and be a spaz at the same time. Hasn't he heard of multi-tasking? Like tweeting @ work!
50377,0,Itchy eyes 
101660,0,not feeling very well 
336296,0,i have an issue trusting ppl thats bad 
1004284,1,1
1559954,1,1
116692,0,@IAMtheCOMMODORE you best be wearing your ALO bracelet today. I saw you werent yesterday 
1500264,1,1
171629,0,This is scary  they hooked me up to 9 wires n it printed sum graph ohhhhhh 
1573245,1,1
111539,0,"Is someone out there trying to tell me something????,  my day can't get any worse "
707585,0,I LOST MY iPHONE!!!!!!!!!!!!!! 
201992,0,"Britains got talent final 2nite, hmmm i wonder who will win lol, i hope holly steel does but i bet susa boyle will "
108707,0,@Djalfy I suppose it's too late to tell him Happy Birthday!    
540535,0,@Kathy_Fraggle I remember New Adventures of WTP but my ma never let me have Lucky Charms  She was anti-food coloring...
1324274,1,1
1501583,1,1
1146404,1,1
1405667,1,1
153983,0,@monocai then I think they won't let you tweet a thing... 
533649,0,Sadly I will not be in L.A. this Sunday as Dtox Sundays has been cancelled..  Hopefully I'll be able to get out there soon!
760268,0,today is going to be sooo sad.  I cnt even imagine how everyone elses reaction is going to be. R.I.P babygirl! 043091-061909
745363,0,@souljaboytellem I thought we was twitter fres 
1346065,1,1
497980,0,"ehh, no more pizza rolls  Liv y did ya eat them all?!"
1034882,1,1
868941,1,1
865028,1,1
1282502,1,1
116248,0,"@cltomp every time i get a text i think &quot;oh wow, who could this be that wants to talk to me&quot; and then its just oh, chery is at the gym "
1446700,1,1
710542,0,My exams begin monday... 
617976,0,@ThePerfectVerse the one that really knows me is dead  RIP Pastor Ward *sigh
983310,1,1
1489673,1,1
1101018,1,1
1462859,1,1
866539,1,1
934527,1,1
1042922,1,1
18679,0,@wonderjenn  I got laid off from one of my shitty jobs back in Jan. 
1510855,1,1
562697,0,thinks that @Wossy should give Matthew Fox a kiss for me since I can't do it myself  tehe
434465,0,best get ready for work 
967997,1,1
489396,0,"Twitter, please postpone the maintenance. It's vital that twitter is available or we will have no news about #iranelection  #twitterfail"
1070480,1,1
937235,1,1
679791,0,@sheila_rossow I hope it wasn't because of my cake! 
289929,0,I think I may have ruin my appetite for meat forever  hope it's just a bug I'm getting
1399587,1,1
232524,0,"@goldfries Yup, that's the one "
594182,0,@OGVENOE UGH! I got bitched at today for doing that! 
1371799,1,1
977635,1,1
269963,0,". @DAVID_LYNCH @INTERVIEWPROJ  - Interviewproject now online!! Actually, I don't manage to get the Vid started, neither in FF nor Chrome "
44496,0,@jarodvhale whattttttttttt next year.. omg i can't wait til next year.. 
1041866,1,1
869398,1,1
1290764,1,1
1092,0,and they advertising fake louis bags as 100% authentic on google  i'm pissed!
1093116,1,1
1338910,1,1
1088476,1,1
38577,0,I have insomnia.... 
1097353,1,1
1527373,1,1
1260995,1,1
1543790,1,1
565483,0,@AtherDes  send him my best wishes. I hope he gets well soon
176947,0,"Thought i saw the a-trak van, turns out its the Alcohol- TEAM van. "
1563501,1,1
183262,0,"@rebecca__marie TOTALLY!. im ready. im so ready. uh yes, good dreams. but without you here today, i just slept all day..  "
1189798,1,1
1263091,1,1
1477968,1,1
1242187,1,1
1411666,1,1
187453,0,@MsMiamiHEAT3 POOR POOR POOOOOOOOOOOOOOOOOOOOR CARMELO!!!!!! MY POOR # 15  Nuggets Now Always &amp; Forever LETS GO LEBRON
821899,1,1
191459,0,@HisBlueEyes Poor Baby   I still love you &lt;3
130329,0,"@venusflesh Ugh, I hate strep throat!  I'm sorry, love   Hope you feel better soon."
149526,0,Feeling much better... But by house is empty and it's quiet  I don't like it.
1598750,1,1
638764,0,I decided I'm going on a diet! I need to lose my big belly fat 
1113555,1,1
1008312,1,1
372281,0,@Carmyell I never got another email about the tat thing so I dunno if I can make it. 
1485136,1,1
891640,1,1
938998,1,1
145324,0,Argh you have to be 16 or over to work at jay jays. 
949029,1,1
461876,0,@smata an official announcement will be made tomorrow but heard the news an hour ago 
877321,1,1
1126805,1,1
1332791,1,1
1066951,1,1
1060570,1,1
221342,0,@dazzystar5 just really annoyed about my car  it's just so unnecessary and inconvenient. did you go see the movie?
277125,0,@rickoshea Same thing happened to me... I was looking forward to going and everything 
1213209,1,1
780934,0,9:20pm and G's finished eating. I just finished cleaning. now I can eat. food's all cold 
141146,0,@auntieflo @EPMorgan &quot;Don't do it!&quot; WHY must people get married IN SCOTLAND when I have exams?  I wanna goooo!
125753,0,@nixsight ach! blocked in the USA. 
236725,0,"lying in the sun, studying english. . .curses on this week, its gonna be bad "
1433138,1,1
728701,0,oh christofer drew...where are you in my time of need!? 
1323838,1,1
222114,0,why do fools fall in love? 
636467,0,"Plurkloves all sleeping,Why must have different timing one? "
409754,0,"@SunshineBoat I feel bad like I let @revvell down though. Let me tell you, the day just sucked. Universe totally uncooperative. "
769730,0,Whenever faced with the choice to pee or make it to the train on time... I always choose the train. 
1167514,1,1
1127039,1,1
1346012,1,1
951768,1,1
74651,0,Going Grand Designs show now but the weather looks so crap. 
1110470,1,1
1112540,1,1
655980,0,@Hypefactor lol it's all worth it! Sorry we won't be able to make it  It will be such an incredible time- congrats again!!!
836947,1,1
910366,1,1
658895,0,I've been on this train for 4 hours and we're still not in Yorkshire. 
79349,0,@daveb41 i am really sorry to hear this. i am sure it's a sad time around your house.  my thoughts are with u and the rest of the family.
479054,0,S/times work makes me feel like 1 of those little pod people in TheDarkCrystal that r strapped in &amp; have their life sucked out of them. 
938443,1,1
398331,0,@jessemccartney Heey! how the tour is going? I wish I could be on there  Please come to BRAZIL we love ya &lt;3
751551,0,"@ELLEohhELLExxx I definitely will, Ellie "
364329,0,Shopping for DRAKE!! Then to the mall... Still raining 
441126,0,My little sister is going home today 
554649,0,On Monday next week I'm going with @amerikate to notify the registry office that we want to get hitched. I just wish the USA allowed it 
1139320,1,1
394075,0,I miss my girl sooo much...  I just wanna be with her...
244935,0,NO! i forgot about church until it was too late 
1396688,1,1
502056,0,@SuzyElizabeth  i think he's doing worse    my poor puppy.  i'm so far beyond worried at this point
392105,0,@bfelt23 yeah   that mint colored tank with the ruffles in the front was like SKIN tight. i need to send/take 4 tops back.
1156509,1,1
883775,1,1
753413,0,Poor Keri. I hope they put her on right before Beyonce. 
1178682,1,1
242924,0,hung over as helllllll UGH 
1156447,1,1
275041,0,@lisacall Indeed! We love AD. Very funny &amp; sad it was cancelled. 
1426315,1,1
1350308,1,1
1533611,1,1
1517,0,Had a moment with run fatboy run 
1210361,1,1
1482711,1,1
1306512,1,1
888795,1,1
1153409,1,1
260536,0,Dance is over for a month 
1218065,1,1
1345124,1,1
1417720,1,1
932960,1,1
1004483,1,1
320175,0,@firesty my eyes are brown. but when i was little they used to be BLUE! im so pissed. i want blue eyes 
871779,1,1
358742,0,Is wondering where my twit pics for work went!!!! And hope this is just maintenance related!! Seriously frustrated 
551394,0,How to remove the people that you follow ? 
1013482,1,1
1356653,1,1
1008701,1,1
1366878,1,1
543057,0,Can't we all just get along.... Hmmm 
1576015,1,1
1379640,1,1
1079072,1,1
687952,0, no diving for me today... we'll try again next week... #bsb
1324512,1,1
44045,0,It's raining in Cape Town and I want to ride my bicycle... tired of being stuck in doors 
202748,0,idk what to dooooo..... 
947986,1,1
462262,0,need a new job.. whats life got for me next 
1211080,1,1
1590211,1,1
768601,0,the server is kicking me out 
171741,0,@aeayling my poor baby I think it's allergies! Can I do amything about it bc he's been that way sence monday 
1598247,1,1
796836,0,Entire body aches like shit from 3 hrs of badminton! 
672556,0,@_StudMuffin im shaving my head...my barber got booked  i fuckin lagged it to long cuz i been hoppin on one foot. i think i need goose!!
44734,0,What I should do to day.... maybe some hiking with dogs. Well far as I know I should study really hard 
935767,1,1
1477284,1,1
595369,0,Still feeling ill. Nietzsche may have found inspiration and motivation in illness but I can't.  I want my body back. 
31996,0,The sound of kitty indigestion is scary. It sounds like puking up roosters or something. Yes I have a sick kitteh. 
1075007,1,1
933683,1,1
972533,1,1
1567047,1,1
1448527,1,1
903477,1,1
222373,0,@AnnaCampos Poor King Jame  Next up: My Lakers against the Magic!
1066261,1,1
939217,1,1
261346,0,@bananafacexo Oh. I have the ev2 It has  a keyboard but it  flips open not slide  Im hopin to get a blackberry storm or.. *Its u&amp;me 4eva*
1225341,1,1
951038,1,1
1591898,1,1
1273021,1,1
833688,1,1
676266,0,is a lamo tonight 
1481365,1,1
909233,1,1
453231,0,leaving victorville after the MMA fights! missing the 1st half of the laker game 
1492150,1,1
578322,0,ive got a bad back  ouch
731718,0,@Jonasbrothers  can u guyz please come too mission or mcallen texas please  i have never ever seen u guyz and i would like to meet u guyz
1130854,1,1
388783,0,On our way home. Vacation is over. 
1473810,1,1
1388222,1,1
458671,0,Shit also saw noob tube  in demo
110811,0,@cheesepenguins I know. ;) but my usage has been far from excessive. I've not downloaded any ISO's for about a week it's been this bad. 
1140278,1,1
307380,0,Just to clarify I was away (Hong Kong) for 9 days. DON'T associate me to the wrongdoings that happened. I found out about it on the 29th. 
1242077,1,1
362094,0,Getting off work... then going to work again @ 5... I want to ride my new bike  not work!
1121982,1,1
1539261,1,1
1295622,1,1
1460618,1,1
495741,0,"Didn't see any wolves today.   Did dee Tower Fall.  Very little sun, so pics didn't turn out well."
798369,0,Why is the line-up for Hard Rock Calling tomorrow so tiny? 
1300600,1,1
1304579,1,1
1510000,1,1
1044264,1,1
1013731,1,1
162164,0,Happy belated Birthday to Billy!! I forgot to say that on his bday.  I  feel aweful!
211598,0,Beautiful day outside and i'm missing it 
292616,0,So I forgot my clicker AGAIN for the 2nd time in a row for my bUS101 class . This sucks! 
906172,1,1
199155,0,I'm happy with my new hair cut but have work tonight 
1394378,1,1
822129,1,1
549803,0,@Natorii Ew - I had a &quot;2 week&quot; bathroom project turn in to a 6 month project. Was not fun losing all the sleep 
1198519,1,1
424732,0,@lexa6636  same here it's to hot I'm my house !! ;(
1109957,1,1
96958,0,has a sickness bug and is feeling super sorry for herself  Hope it's a 24 hour thing.
1107890,1,1
147556,0,"I would love to go on countdown, but the maths area would let me down "
1445802,1,1
226185,0,Missed the live webcast of Stephan Pastis! Noooo! 
482020,0,Practice n an hour 
445790,0,"still hurting from last night.got shit to do, but I.can't.move "
294411,0,@paauul Mine too  I'm dying..
625606,0,@lulu_nadine haha it's 100 right now.  what about you?
722701,0,the pool was awesome i was there for two hours got home took a shower then went to mcdonalds and now my stomach hurts 
545473,0,"The night always makes me sad, more then sad.   ----&quot;Goodbye, I love you, was my last thought&quot;"
1002131,1,1
83314,0,"@AngieGetLow HAHAHAHAHAHA seriously. man, i havent seenmy dog in a month since i dont live with my mom anymore  i miss my puppy so much."
213079,0,Its freaken cold too. No wonder I'm still at home 
1049174,1,1
825046,1,1
1376035,1,1
343019,0,"2,5 hours left. slooooowmooootioooon day, again... "
1292453,1,1
170646,0,Home from school. Out tonight? Probably not 
695146,0,r @codinghorror if I hadn't seen the iphone3G v 3GS smackdown I wouldn't have known the difference   I'll just have to wait for the 4G...
117600,0,"Boat trip cancelled due to strong rain and thunder storms  Bummer, oh well great day for reading!"
1456180,1,1
1398478,1,1
370418,0,Can't believe Britney has been &amp; gone!!! Wish I cud do it all over again 
1047845,1,1
902648,1,1
1507418,1,1
1338125,1,1
14591,0,I think I am failing at life right now. 
585419,0,@MacFacetime09 my mama didn't make it home till late 
386197,0,"@jnyemb oh no way, you can't do that! Sooo unfair "
249813,0,@Trhpeanut Sorry I don't play WoW anymore... 
733589,0,I'm 18 years old !!! So what's next  not happy and drunk. Need sun love  like family love
1590534,1,1
1565791,1,1
902328,1,1
1351463,1,1
1327912,1,1
1324557,1,1
596720,0,I want him now  @lean_nasution buat packing packing coz I hate packing 
1223123,1,1
167348,0,dis damn usb charger is good for nothin. gotta find that verizon store. my fone been dead since last nite 
1366151,1,1
297750,0,@SimplyShaki But I like living 
1311508,1,1
487587,0, i wanna vote for Miley Cyrus and I cant!! I wanna live in the united states now!!
786756,0,@nickcarnes our printer DIED last week.  I miss it.
687160,0,@RachTheThing HAH! For some reason mobi Twitter's been off for weeks  and work has = nuts this month 
1482619,1,1
854024,1,1
1529321,1,1
1263129,1,1
317181,0,I still feel blah about enrolling. I still don't want classes to start but baaaaaah. I need to meet with adviser because I am deliquent. 
286261,0,Cms training.... At least 2 more hrs 
692014,0,It sure is nice to chill out and hang out at home the whole day. Now back to sleep for a bit. Got a headache. 
1535161,1,1
961571,1,1
103290,0,@Lyssabella what? check his retweet from earlier 
1125613,1,1
999538,1,1
575975,0,Just read the last sentence of 'Of Mice and Men'   ...How sad 
971875,1,1
186038,0,eye think eye'm crushing... 
22481,0,Gotta take my very cool Mom to airport   She'll be back for next gig in May.... keep you posted on that one. twitter.com/nickirichards
1477265,1,1
1409273,1,1
400064,0,@chrys73 Yes. School will be over on Tuesday...4 children....not 4 me!!! 
637816,0,"is on the last day of her holiday today, so what happens? I'm up at 6.15 with a 5 year old who is &quot;lonely&quot; after a crap nights sleep. "
4984,0,at the airport... its soooo cold and the walk is soooo long. 
535020,0,Back from the beach.................bummed 
638697,0,"@weirdturnedpro Also, now I've got &quot;sex bee! sex bee! you're my sex bee!&quot; stuck in my head. "
280857,0,@taylorswift13 the video has been taken down already 
781569,0,my life has officially gone fallen into pieces. 
156951,0,"@taylorswift13 im watching a show bout you right now, bout how you would sit at a table of girls and theyd all get up and leave "
1160323,1,1
850322,1,1
1463016,1,1
1186522,1,1
389439,0,Just leaving office. Won't be able to make it to #satleo @wanderblah @Krist0ph3r @shaaqt next time 
1237329,1,1
1446790,1,1
9481,0,Painfully hungry...  Bring my appetizers plz.
775139,0,@ohapey i HATE that they keep teasing up! its too long. 
173142,0,@SherylBreuker I hate that Costco always costs us so much money 
659338,0,@elle_oh_elle_ haha im pumped about that ice cream too! and u get to see my lack of hair! 
148485,0,wishes I didn't have to go to work today!!! 
329258,0,feels like crap. Makes you think whats your purpose in life 
1377403,1,1
692383,0,is playing Farm Frenzy at 320am... this game is suppose to be fun  friggin grizzly bears and pandas come running out at the chickens!
1184602,1,1
516157,0,2 more days till exams  #squarespace
809296,1,1
21762,0,Uh i need glasses for the computer. I look like a tranny in them. 
1584356,1,1
759143,0,"@nicofell I am not too sure, I think when you connect the first time it asks for your mobile number. I can't even get that far "
964792,1,1
974848,1,1
51588,0,@TheQuestCrew I pay $75! But I'm in Venezuela HAHA!  I want to see Quest&amp;Beat    I
579079,0,feeling shitty  so watching the little princess
842670,1,1
1440472,1,1
604625,0,@kirbyjayne no my other aunt in Vietnam. Mum's not holding up too well  thank you so much for your messages! *big hug*
815555,1,1
1420540,1,1
637490,0,Why do I bother to be friends with assholes?? Sad.. 
226292,0,So @HillFig09 's party was epic. I brought a pineapple  got home right at curfew this time. For some reason Hulu won't finish Fringe 
293770,0,I think im in love........with myself. i kinda rock..its funny how people don't seem to notice these days  lol
321422,0,I hate braces 
518702,0,Well my love affair with my first mighty mouse didn't last too long. 5months in and the scroll's knackered  only goes downwards.Bad times!
1081594,1,1
1175495,1,1
1232362,1,1
1513997,1,1
1175921,1,1
116191,0,"@scottknowles Hi my darling, yes tweeting in KS, a beautiful day-74 for the high How's the homework?  No skype don't know where it is "
1098582,1,1
1406683,1,1
850699,1,1
931145,1,1
1256382,1,1
291691,0,Ian left The Cab? My life suddenly has less meaning. I love that kid. 
1113930,1,1
502364,0,@youngsinick But I don't wanna be fat. 
1298827,1,1
525414,0,@Esmith22 ok ok you win!!! You are the ultimate white girl  we shall meet again!!
962355,1,1
1301798,1,1
819416,1,1
35212,0,I hate when Morgan doesn't feel well... 
1423653,1,1
1411800,1,1
626975,0,@lauraeatworld I is heeeere!!! haha. sorry I'm so slow  lol
456601,0,@karacornflake loving the strict mother!   Just nightmares for me as usual. 
1085128,1,1
1041069,1,1
614122,0,"Grrr, None of my editing software works on this computer      If anyone has a good one that you don't want, tell me! =P"
1552469,1,1
1307034,1,1
1412301,1,1
1019026,1,1
914166,1,1
1555053,1,1
1270505,1,1
139600,0,last day of work experience today! 
745202,0,Beat Media Guardian to ESPN story by eight minutes; just noticed Broadband TV News clock is an hour out 
678563,0,@djphatmike i'm in AZ 
804036,1,1
1339679,1,1
774166,0,I'm craving Sushi and Jamba Juice!!!  I miss LA
888066,1,1
1524944,1,1
193752,0,i just read something that upset me so much that I am nauseous and sick to my stomach about it 
66055,0,@StDAY Damn. It's been rainy and in the 50s and 60s here all weekend. 
1507541,1,1
999117,1,1
838880,1,1
685245,0,@missarrie i was sad when it was over  #BSG
642244,0,My mexicans graduate today and go home! Lots of crying today I'm sure 
1516896,1,1
755617,0,I'm such an old lady 
236345,0,Just woke up work at 9 till 6  should be at the beach with my boo instead
816723,1,1
26246,0,has a broken 360 
1454235,1,1
1493468,1,1
1235801,1,1
1138860,1,1
1442805,1,1
1281906,1,1
1107720,1,1
251254,0,i hate MOS 
1588643,1,1
1235823,1,1
695644,0,cried with my hubby at sunrise .. omgg  saddest thing i've ever experienced
1107432,1,1
793970,0,Just woke up!  It's already scorching hot.    LAME!  Off to work to sweat off another 5 - 10 pounds.  Oh so attractive!
207806,0,@aracelerysticks hahaha i havent showered in days. cause i cant stand up 
1548332,1,1
1097502,1,1
998769,1,1
749546,0,How am i gonna deal with this?  i'm not ready for you to go...
929747,1,1
1485805,1,1
9785,0,at home 
1102705,1,1
614728,0," work, and i need to get used to this website..kind of confusing"
1493546,1,1
1444631,1,1
402091,0,"Happy 6th birthday, Mattycakes... *sighs* "
12567,0,Wants to be followed by the King of Twitter 
280926,0,Fighting a sore throat for the last few days. It really hurts. Think I'm gonna take a half day 
426533,0,"butt  im 500,577th in the world, not very good "
927172,1,1
